Region,Site,Treatment,Colony #,Found (1/0),Survivorship (1/0),Percentage colony mortality (%),Colony diameter (cm),Color score,Partial bleaching (1/0)
Lizard,Big Vickis,Juvenile,LJ020,1,1,0,8,2,1
Lizard,Big Vickis,Juvenile,LJ021,0,0,,,,
Lizard,Big Vickis,Juvenile,LJ022,1,1,0,7,4.5,0
Lizard,Big Vickis,Juvenile,LJ023,1,1,0,10,3,1
Lizard,Big Vickis,Juvenile,LJ024,0,0,,,,
Lizard,South Turtle,Adult,LA025,0,0,,,,
Lizard,South Turtle,Adult,LA026,1,1,0,30,4.5,1
Lizard,South Turtle,Adult,LA027,1,1,0,55,5,0
Lizard,South Turtle,Adult,LA028,1,1,0,30,4,1
Lizard,South Turtle,Adult,LA029,1,1,0,30,5,1
Lizard,South Turtle,Adult,LA030,1,1,0,40,4.5,1
Lizard,South Turtle,Adult,LA031,1,1,0,15,4,1
Lizard,South Turtle,Adult,LA032,1,1,0,27,4.5,1
Lizard,South Turtle,Adult,LA033,1,1,0,55,4,1
Lizard,South Turtle,Adult,LA034,1,1,0,33,4.5,0
Lizard,South Turtle,Adult,LA035,1,1,0,43,4,1
Lizard,South Turtle,Adult,LA036,1,1,0,40,3.5,1
Lizard,South Turtle,Juvenile,LJ025,1,1,0,7,3,0
Lizard,South Turtle,Juvenile,LJ026,1,1,0,10,4,1
Lizard,South Turtle,Juvenile,LJ027,1,1,0,8,3,1
Lizard,South Turtle,Juvenile,LJ028,0,0,,,,
Lizard,South Turtle,Juvenile,LJ029,0,0,,,,
Lizard,South Turtle,Juvenile,LJ030,1,1,0,11,2.5,1
Lizard,South Turtle,Juvenile,LJ031,1,1,0,10,3,0
Lizard,South Turtle,Juvenile,LJ032,1,1,0,15,3,1
,,,,,,,,,
,,Lizard,Adult,34,1,survivorship of found colonies,,,
,,,,34,,,,,
,,Lizard,Juvenile,23,1,,,,
,,,,23,,,,,
,,Heron,Adult,20,90.90909091,,,,
,,,,22,,,,,
,,Heron,Juvenile,6,42.85714286,,,,
,,,,14,,,,,
