Region,Site,Species,Treatment,Nubbin ID,Rack..,Survival,Percentage.dead,Color1,Color2,Color.Average,Y,,Symbiont.ID,SymbiontID_KB,Coral.ID,CoralID_KB,Holobiont
Heron,Coral Canyons,Pocillopora,Adult,HA021,16,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Adult,HA022,12,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Adult,HA023,7,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Coral Canyons,Pocillopora,Adult,HA024,11,1,55,2,2,2,,,"C1b-c, 42a",C1,Pdam,Pdam,PdamC. latusorum
Heron,Coral Canyons,Pocillopora,Adult,HA025,,,,,,,missing,,,,,,
Heron,Coral Canyons,Pocillopora,Adult,HA026,11,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Adult,HA027,10,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Adult,HA028,12,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Adult,HA029,10,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Adult,HA030,12,0,100,,,,,,,,,,
Heron,Coral Canyons,Pocillopora,Adult,HA031,8,0,100,,,,,,,,,,
Heron,Coral Canyons,Stylophora,Adult,HA032,9,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Adult,HA033,13,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Adult,HA034,,,,,,,missing,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Adult,HA035,16,1,7,2,5,3.5,,,,,Pdam,Pdam,Pdam
Heron,Pam's Point,Pocillopora,Adult,HA036,15,0,100,,,,,,C33a*,C33,Pnew (rel Pdam),Pdam,Pnew (rel Pdam)C33a_sGBR
Heron,Pam's Point,Pocillopora,Adult,HA037,15,0,100,,,,,,"C1b-c,j, 42a",C1,Pdam,Pdam,PdamC. latusorum
Heron,Pam's Point,Pocillopora,Adult,HA038,17,0,100,,,,,,C33a,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Adult,HA039,15,0,100,,,,,,C33a,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Adult,HA040,14,0,100,,,,,,C33a*,C33,Pdam,Pdam,PdamC33a_sGBR
Heron,Pam's Point,Pocillopora,Adult,HA041,18,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Adult,HA042,15,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Adult,HA043,16,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Adult,HA044,13,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Adult,HA045,14,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Adult,HA046,13,0,100,,,,,,,,,,
Heron,Pam's Point,Pocillopora,Adult,HA047,18,1,3,2,3,2.5,,,,,,,
Heron,Pam's Point,Pocillopora,Adult,HA048,17,1,10,3,3,3,,,,,,,
Heron,Harry's Bommie,Stylophora,Adult,HA049,3,0,100,,,,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Adult,HA050,6,1,7,5,6,5.5,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Adult,HA051,4,1,5,5,4,4.5,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Adult,HA052,1,1,5,4,4,4,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Adult,HA053,4,0,100,,,,,,C35a,C35,,C35,C35a group
Heron,Harry's Bommie,Stylophora,Adult,HA054,5,0,100,,,,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Adult,HA055,2,1,45,4,2,3,,,C78a,C78,,C78,C78a
Heron,Harry's Bommie,Stylophora,Adult,HA056,3,0,100,,,,,,,,,,
Heron,Harry's Bommie,Stylophora,Adult,HA057,1,1,5,5,4,4.5,,,,,,,
Heron,Harry's Bommie,Stylophora,Adult,HA058,4,1,92,4,,4,,,,,,,
Heron,Harry's Bommie,Stylophora,Adult,HA059,2,1,7,4,4,4,,,,,,,
Heron,Harry's Bommie,Stylophora,Adult,HA060,4,1,40,2,4,3,,,,,,,
Heron,Harry's Bommie,Stylophora,Adult,HA061,4,0,100,,,,,,,,,,
Heron,Harry's Bommie,Stylophora,Adult,HA062,6,1,55,3,2,2.5,,,,,,,
Heron,Harry's Bommie,Stylophora,Adult,HA063,1,1,3,5,4,4.5,,,,,,,
Heron,Harry's Bommie,Stylophora,Adult,HA064,2,0,100,,,,,,,,,,
Heron,Coral Canyons,Stylophora,Adult,HA065,8,1,40,3,2,2.5,,,C78a,C78,,C78,C78a
Heron,Coral Canyons,Stylophora,Adult,HA066,11,1,22,4,2,3,,,C78a,C78,,C78,C78a
Heron,Coral Canyons,Stylophora,Adult,HA067,11,1,13,3,3,3,,,C8a,C8,,C8,C8 group
